REGION,FUEL,YEAR,VALUE
REGION1,ATE2,2015,227.59445
REGION1,ATE2,2016,230.4330984
REGION1,ATE2,2017,233.2717488
REGION1,ATE2,2018,236.1103992
REGION1,ATE2,2019,238.9490496
REGION1,ATE2,2020,241.7877
REGION1,ATE2,2021,243.6047712
REGION1,ATE2,2022,245.4218424
REGION1,ATE2,2023,247.2389136
REGION1,ATE2,2024,249.0559848
REGION1,ATE2,2025,250.87306
REGION1,ATE2,2026,252.8994672
REGION1,ATE2,2027,254.9258784
REGION1,ATE2,2028,256.9522896
REGION1,ATE2,2029,258.9787008
REGION1,ATE2,2030,261.00511
REGION1,ATE2,2031,262.554228
REGION1,ATE2,2032,264.103344
REGION1,ATE2,2033,265.65246
REGION1,ATE2,2034,267.201576
REGION1,ATE2,2035,268.75069
REGION1,ATE2,2036,270.9194544
REGION1,ATE2,2037,273.0882168
REGION1,ATE2,2038,275.2569792
REGION1,ATE2,2039,277.4257416
REGION1,ATE2,2040,279.5945
REGION1,ATE2,2041,282.0144744
REGION1,ATE2,2042,284.4344448
REGION1,ATE2,2043,286.8544152
REGION1,ATE2,2044,289.2743856
REGION1,ATE2,2045,291.69436
REGION1,ATE2,2046,293.0006376
REGION1,ATE2,2047,294.3069192
REGION1,ATE2,2048,295.6132008
REGION1,ATE2,2049,296.91948
REGION1,ATE2,2050,298.22576
REGION1,ATE2,2051,299.4186671
REGION1,ATE2,2052,300.6163417
REGION1,ATE2,2053,301.8188071
REGION1,ATE2,2054,303.0260823
REGION1,ATE2,2055,304.2381866
REGION1,ATE2,2056,305.1509012
REGION1,ATE2,2057,306.0663539
REGION1,ATE2,2058,306.984553
REGION1,ATE2,2059,307.9055066
REGION1,ATE2,2060,308.8292232
REGION1,BEE2,2015,294.457644
REGION1,BEE2,2016,296.0570016
REGION1,BEE2,2017,297.6563592
REGION1,BEE2,2018,299.2557168
REGION1,BEE2,2019,300.8550744
REGION1,BEE2,2020,302.454432
REGION1,BEE2,2021,303.4676376
REGION1,BEE2,2022,304.4808432
REGION1,BEE2,2023,305.4940488
REGION1,BEE2,2024,306.5072544
REGION1,BEE2,2025,307.52046
REGION1,BEE2,2026,310.0827816
REGION1,BEE2,2027,312.6451032
REGION1,BEE2,2028,315.2074248
REGION1,BEE2,2029,317.7697464
REGION1,BEE2,2030,320.332068
REGION1,BEE2,2031,322.425468
REGION1,BEE2,2032,324.518868
REGION1,BEE2,2033,326.612268
REGION1,BEE2,2034,328.705668
REGION1,BEE2,2035,330.799068
REGION1,BEE2,2036,334.6760448
REGION1,BEE2,2037,338.5530216
REGION1,BEE2,2038,342.4299984
REGION1,BEE2,2039,346.3069752
REGION1,BEE2,2040,350.183952
REGION1,BEE2,2041,354.2367744
REGION1,BEE2,2042,358.2895968
REGION1,BEE2,2043,362.3424192
REGION1,BEE2,2044,366.3952416
REGION1,BEE2,2045,370.448064
REGION1,BEE2,2046,374.216184
REGION1,BEE2,2047,377.984304
REGION1,BEE2,2048,381.752424
REGION1,BEE2,2049,385.52054
REGION1,BEE2,2050,389.288664
REGION1,BEE2,2051,392.0136846
REGION1,BEE2,2052,394.7577804
REGION1,BEE2,2053,397.5210849
REGION1,BEE2,2054,400.3037325
REGION1,BEE2,2055,403.1058586
REGION1,BEE2,2056,405.9275996
REGION1,BEE2,2057,408.7690928
REGION1,BEE2,2058,411.6304765
REGION1,BEE2,2059,414.5118898
REGION1,BEE2,2060,417.413473
REGION1,BGE2,2015,99.72958
REGION1,BGE2,2016,100.7679024
REGION1,BGE2,2017,101.8062288
REGION1,BGE2,2018,102.8445552
REGION1,BGE2,2019,103.8828816
REGION1,BGE2,2020,104.92121
REGION1,BGE2,2021,105.6915792
REGION1,BGE2,2022,106.4619504
REGION1,BGE2,2023,107.2323216
REGION1,BGE2,2024,108.0026928
REGION1,BGE2,2025,108.77306
REGION1,BGE2,2026,109.3927104
REGION1,BGE2,2027,110.0123568
REGION1,BGE2,2028,110.6320032
REGION1,BGE2,2029,111.2516496
REGION1,BGE2,2030,111.8713
REGION1,BGE2,2031,112.331844
REGION1,BGE2,2032,112.792392
REGION1,BGE2,2033,113.25294
REGION1,BGE2,2034,113.713488
REGION1,BGE2,2035,114.17404
REGION1,BGE2,2036,114.92766
REGION1,BGE2,2037,115.681284
REGION1,BGE2,2038,116.434908
REGION1,BGE2,2039,117.188532
